round_epochs,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.0025864820927381516,0.05085746943950653,0.0004768212093040347,0.021836236119270325,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,25,10
1,0.0024206333328038454,0.04285774007439613,0.00047049278509803116,0.021690845489501953,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,25,25
1,0.0019222911214455962,0.03855159878730774,0.0004415031289681792,0.021011976525187492,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,25,50
1,0.0012656119652092457,0.031907372176647186,0.0003700279048644006,0.019236110150814056,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,50,10
1,0.0019042191561311483,0.03799216449260712,0.0003632768930401653,0.01905982382595539,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,50,25
1,0.001938840257935226,0.03828313946723938,0.0003630159772001207,0.019052978605031967,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,50,50
1,0.001682411995716393,0.035862427204847336,0.0003211465082131326,0.017920561134815216,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,100,10
1,0.0015465086326003075,0.034328632056713104,0.00030689872801303864,0.017518525943160057,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,100,25
1,0.0019223983399569988,0.037909917533397675,0.00032364699291065335,0.017990192398428917,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,100,50
1,0.0028711091727018356,0.045890603214502335,0.0003652158484328538,0.019110621884465218,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,25,10
1,0.002801555907353759,0.045494720339775085,0.000422390119638294,0.0205521322786808,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,25,25
1,0.0021490391809493303,0.040378421545028687,0.0005284099606797099,0.02298717014491558,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,25,50
1,0.00183810421731323,0.038009487092494965,0.0004111944290343672,0.020277930423617363,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,50,10
1,0.001475355471484363,0.03399588167667389,0.0004998227814212441,0.02235671691596508,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,50,25
1,0.0017517253290861845,0.03709043562412262,0.0005833229515701532,0.024152079597115517,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,50,50
1,0.001664854004047811,0.03660603612661362,0.0004765666089951992,0.021830406039953232,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,100,10
1,0.0016189499292522669,0.035718612372875214,0.0005138154956512153,0.022667499259114265,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,100,25
1,0.0017512897029519081,0.03714293986558914,0.0006377233657985926,0.025253186002373695,1,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Adam,100,50
10,0.00027572011458687484,0.016604822129011154,0.00025374299730174243,0.015929313376545906,1,0.0,10,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x14de06a10>,Nadam,25,10
